,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,change,changepct,volume,color,name,exp_type,user_id,exp_seq
0,0,AAPL,0,0,0,0,0,-1,0.746413310985706,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,1,1
1,1,MSFT,0,0,0,0,0,-1,0.6775449432301162,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,1,1
2,2,GOOG,0,0,0,0,0,-1,0.4325275847125913,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,1,1
3,3,AMZN,0,0,0,0,0,-1,0.4002531347444266,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,1,1
4,4,LCID,0,0,0,0,0,-1,0.3655582900076517,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,1,1
5,5,NVDA,0,0,0,0,0,-1,0.3344809396508423,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,1,1
6,6,XOM,0,0,0,0,0,-1,0.3267718997874653,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,1,1
7,7,JPM,0,0,0,0,0,-1,0.3189793921822593,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,1,1
8,8,V,0,0,0,0,0,-1,0.2888134541502629,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,1,1
9,9,HD,0,0,0,0,0,-1,0.2639472764545959,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,1,1
10,10,JNJ,0,0,0,0,0,-1,0.2452480036913934,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,1,1
11,11,IONQ,0,0,0,0,0,-1,0.1996149368261976,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,1,1
12,12,WMT,0,0,0,0,0,-1,0.1401933687478095,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,1,1
